,date,publication,words,author,title,intro
34,2016-12-06,Le Parisien - Paris ,183mots,,"CLIMAT 22 oC, en moyenne : c'est le","  CLIMAT 22 oC, en moyenne : c'est le record de chaleur qu'a connu l'Hexagone lors de la première quinzaine de septembre, soit 4 oC en plus par rapport à la ...  "
35,2016-11-23,Le Parisien - Val d'Oise,445mots,,"Le conseil encore annulé, les proches d'Adama maintiennent la veillée","        ... Ce  climat de tensions explique le nouveau report du conseil municipal de Beaumont, dont la prochaine date n'a pas encore été fixée. « Les conditions de sécurité ne sont pas réunies », indique ...  "
36,2016-10-13,Le Parisien - Hauts-de-Seine,382mots,,Ses géants de bois trônent au Domaine national,"        ...  sexagénaire. Je cherche des matériaux marqués par l'usure du temps, par les effets du  climat. » Dans la perspective partant du bassin des 24 Jets jusqu'à l'emplacement de l'ancien ...  "
37,2016-10-24,Le Parisien - Val d'Oise,180mots,,"Un « climat angoissant » selon les salariés, un calvaire pour les patients aux urgences","        ...  AdélaïdeHautval de VilliersleBel, est au bord des larmes lorsqu'elle décrit « le  climat angoissant » qui s'est installé dans l'établissement. « Il y a quelques mois, un des nôtres ...  "
38,2016-09-08,Le Parisien - Oise,227mots,F.C.,La rentrée active des syndicats d'enseignants,"    ...  marquée par les violences faites contre les jeunes issus de l'immigration, et par un  climat sécuritaire lié aux attentats », estime Sophie Abraham, secrétaire départementale de la FSU (fédération syndicale unitaire). Et ...  "
39,2016-09-21,Le Parisien - Paris ,266mots,Ronan Folgoas (avec F.G.),Le Parc sonne creux,"    ...  35 000 spectateurs environ, alors que la capacité du Parc dépasse les 46 000 places.  Climat anxiogène et risque terroriste « Tous les billets sont vendus, mais nous faisons face à un phénomène ...  "
40,2016-09-17,Le Parisien - Seine St Denis,385mots,,L'agresseur du médecin urgentiste « regrette » son geste,"        ...  en permanence devant les urgences la nuit. Pour le personnel, cette agression est révélatrice du  climat de violence qu'ils subissent au quotidien. « C'est très dur, raconte un membre du personnel ...  "
41,2016-10-14,Le Parisien - Oise,467mots,,"Marché immobilier compiégnois, un univers impitoyable","        Compiègne Par Vincent Gautronneau S'il est un secteur d'activité au  climat délétère à Compiègne, l'immobilier est celuilà. Le 27 septembre dernier, Frédéric Molina était présenté devant le tribunal ...  "
42,2016-12-14,Le Parisien - Essonne ,480mots,,Associations « sans intérêt » : Pécresse taille dans le vif,        ...  sont entre autres concernées. De même que l'agence locale de l'énergie et du  climat (ALEC) de Plaine Commune en SeineSaintDenis. « Avec l'agence parisienne du  climat et le ...  
43,2016-09-15,Le Parisien - Oise,408mots,,Climat tendu entre les communautés turque et kurde,"        ...  soirée, où réside une partie de la communauté turque, ce qui a encore tendu le  climat entre les deux camps. Hier, la tension était toujours palpable. Face à la rumeur d'une ...  "
