,date,publication,words,author,title,intro
174,2017-01-04,Le Parisien - Paris ,139mots,,L'inflation a légèrement redémarré en France en,"        ...  construction d'une centrale à charbon en Indonésie, suivant ainsi son engagement de ne plus financer d'infrastructures qui iraient à l'encontre de l'accord de Paris sur le  climat.  ...  "
175,2017-02-27,Le Parisien - Yvelines,302mots,,Les défenseurs de l'environnement votent une motion contre l'échangeur de l'A 14,"        ...  d'action au vu des contours de la nouvelle agglo, l'opération « L'énergie, le  climat et nous » menée à Croissy, la création de France nature environnement Yvelines, ou encore le suivi ...  "
176,2017-02-06,Le Parisien - Paris ,283mots,Propos recueillis par j.-M.Dé.,« Coupable coûte que coûte »,    ...  Colonna par celui qui les a déposés. La DNAT a fait régner en Corse un  climat de terreur. » Je ne parle pas des ennuis financiers en cascade. Les travaux du restaurant que ...  
177,2017-02-07,Le Parisien - Paris ,918mots,,"« On va l'emmener derrière le mur, on va lui faire sa fête »","        ...  de parler, j'ai compris qu'ils n'étaient pas là pour rigoler. » Rapidement, le  climat de ce qui démarrait comme un contrôle d'identité s'envenime. A un jeune qui demande ...  "
178,2017-02-17,Le Parisien - Paris ,436mots,,"Après le vandalisme, l'heure est aux réparations","        ...  400 à 500 manifestants sur le carrefour du métro aérien, s'était déroulé dans un  climat d'extrême tension. Mais il ne s'est soldé que par des dégradations mineures et quelques ...  "
179,2017-03-18,Le Parisien - Val de Marne,312mots,,"« On a l'habitude. Maintenant, c'est la routine »","        ... Hier, ils étaient entre 150 et 200, rassemblés dès 8 heures , dans un  climat tendu. 11 jeunes ont été interpellés, notamment pour avoir jeté des mortiers sur les policiers.  Elève de classe ...  "
180,2017-03-03,Le Parisien - Paris ,138mots,G.P.,Des initiations gratuites pour les néophytes,"    ...  aussi dense où garder une parfaite santé mentale relève de l'exploit permanent, et un  climat aussi peu clément, ça vous a toujours semblé un peu risqué... Cityscoot n'oublie pas ces ...  "
181,2017-03-18,Le Parisien - Seine St Denis,416mots,N.R.,Polémique à fleurets non mouchetés avec le club d'escrime,"    Aubervilliers Rien ne va plus entre le club d'escrime historique d'Aubervilliers et la ville, depuis que la municipalité a décidé de faire passer sa subvention annuelle de 130 000 ...  "
182,2017-03-24,Le Parisien - Edition Principale ,162mots,V.L.,"« C'est triste, tout ce qui se passe.","    ...  C'est triste, tout ce qui se passe. Cela crée un  climat bizarre qui n'est bon pour personne. La barque s'est chargée d'un coup avec toutes ces affaires. Le ...  "
183,2017-04-01,Le Parisien - Seine St Denis,353mots,,"Après la saisie de cannabis, les élus vont avoir le centre technique à l'oeil","        ...  Le maire (PC) Laurent Russier a invité les membres de cette instance à instaurer « un  climat serein, apaisant » et à « ne pas outrepasser le mandat qu'elle se sera fixé ». L'édile ...  "
