month,lemonde,lefigaro,lesechos,libé,lacroix,lemonde_percentage,lefigaro_percentage,libé_percentage,lesechos_percentage,lacroix_percentage
2014-06,22,6,5,3,7,0.44462409054163304,0.13380909901873325,0.13327410039982232,0.1554243083618278,0.363447559709242
2014-07,12,2,5,3,2,0.2500520941862888,0.05042864346949068,0.135013501350135,0.16983695652173914,0.10504201680672269
2014-08,3,1,3,1,0,0.07458975634012929,0.031377470975839344,0.051334702258726904,0.1333926189417519,0.0
2014-09,29,4,13,7,10,0.4895340985820391,0.08321198252548366,0.31876138433515483,0.36051026067665,0.4921259842519685
2014-10,16,4,4,4,4,0.18619806819504248,0.07982438635002993,0.18206645425580337,0.10772959870724481,0.19157088122605362
2014-11,38,14,8,13,8,0.48229470745018405,0.30561012879284,0.6519558676028084,0.2656924609764198,0.4542873367404884
2014-12,21,7,14,10,10,0.5825242718446602,0.1661523854735343,0.4873294346978557,0.4273504273504274,0.48828125
2015-01,10,3,4,7,4,0.30303030303030304,0.06509004122369277,0.38482682792743267,0.11802891708468574,0.18604651162790697
2015-02,22,5,10,4,9,0.6836544437538844,0.1167406023815083,0.2372479240806643,0.3054367745876604,0.49586776859504134
2015-03,18,6,5,8,12,0.47556142668428003,0.12432656444260257,0.4514672686230248,0.13691128148959475,0.5519779208831647
2015-04,16,9,5,5,5,0.46920821114369504,0.1981069777679947,0.29550827423167847,0.14952153110047847,0.21626297577854672
2015-05,29,11,16,7,20,0.8790542588663232,0.25688930406352173,0.39347948285553686,0.5689900426742532,0.9837678307919331
2015-06,39,15,23,11,26,1.1531638083973978,0.3198976327575176,0.6440281030444965,0.6385341476957246,1.0391686650679457
2015-07,18,12,15,6,13,0.5930807248764415,0.32145727297080096,0.3766478342749529,0.5050505050505051,0.5734450816056462
2015-08,17,5,10,9,8,0.70862859524802,0.17217630853994492,0.6181318681318682,0.40700040700040696,0.372960372960373
2015-09,29,10,16,10,19,0.8064516129032258,0.22256843979523702,0.62266500622665,0.4507042253521127,0.7578779417630634
2015-10,42,13,25,29,29,1.1372867587327375,0.28236316246741966,1.6811594202898552,0.7352941176470588,1.2023217247097846
2015-11,82,33,56,22,47,2.5184275184275187,0.7486388384754991,1.3986013986013985,1.73053152039555,2.0787262273330382
2015-12,47,46,33,30,31,1.3529073114565342,1.0775357226516749,1.7878426698450536,1.0516252390057361,1.3014273719563392
2016-01,9,4,9,4,7,0.2823086574654956,0.09732360097323602,0.24615384615384617,0.2823086574654956,0.30621172353455817
2016-02,9,4,3,2,4,0.28680688336520077,0.09298000929800093,0.13404825737265416,0.08787346221441124,0.1936108422071636
2016-03,9,4,6,0,0,0.2610208816705336,0.08663634394628547,0.0,0.16891891891891891,0.0
2016-04,11,6,9,4,2,0.3323262839879154,0.13879250520471895,0.2449479485609308,0.28873917228103946,0.09779951100244498
2016-05,5,5,6,7,1,0.13815971262779772,0.12135922330097086,0.43050430504305043,0.18951358180669614,0.047214353163361665
2016-06,10,3,4,4,5,0.27114967462039047,0.06525995214270176,0.24271844660194172,0.1146131805157593,0.2174858634188778
2016-07,5,3,9,4,0,0.16518004625041297,0.08660508083140878,0.27359781121751026,0.33607169529499625,0.0
2016-08,16,1,6,1,4,0.6262230919765166,0.029524653085326247,0.06882312456985547,0.23913909924272617,0.2054442732408834
2016-09,16,7,11,8,4,0.45390070921985815,0.15559013114025338,0.4733727810650888,0.31958163858221966,0.1839080459770115
2016-10,29,2,7,6,9,0.8636092912447886,0.04690431519699812,0.3712871287128713,0.20964360587002098,0.4488778054862843
2016-11,35,8,18,8,17,1.036422860527095,0.1781340458695168,0.55286800276434,0.5523166615526235,0.842835894893406
2016-12,15,8,9,6,4,0.42979942693409745,0.19469457288878073,0.3976143141153081,0.30170968823332217,0.17929179740026896
2017-01,13,4,8,11,4,0.39889536667689474,0.09004952723998198,0.7488087134104833,0.22988505747126436,0.1839080459770115
2017-02,12,3,9,4,1,0.38095238095238093,0.07352941176470588,0.27491408934707906,0.2858050174658622,0.05336179295624333
2017-03,15,9,7,5,2,0.40540540540540543,0.18796992481203006,0.3088326127239036,0.18791946308724833,0.08616975441619991
2017-04,10,4,7,2,5,0.28868360277136257,0.09289363678588017,0.14461315979754158,0.24390243902439024,0.2598752598752599
2017-05,16,5,11,2,9,0.41699244201198854,0.11327594019030357,0.12746972594008923,0.3439649781113196,0.390625
2017-06,33,9,15,13,10,0.8700237279198523,0.18951358180669614,0.8264462809917356,0.4317789291882556,0.46816479400749067
2017-07,11,9,6,4,9,0.37800687285223367,0.2547410133031418,0.2756719503790489,0.22727272727272727,0.4624871531346352
2017-08,17,11,5,9,6,0.7071547420965058,0.35177486408698433,0.6593406593406593,0.21123785382340513,0.30721966205837176
2017-09,18,5,9,14,7,0.4827031375703942,0.11123470522803114,0.9253139458030404,0.2862595419847328,0.3246753246753247
2017-10,12,7,12,4,8,0.35842293906810035,0.15418502202643172,0.2711864406779661,0.3596044351213665,0.3838771593090211
2017-11,28,14,12,7,13,0.8254716981132075,0.3160984420862497,0.5035971223021583,0.3737153534724385,0.6143667296786389
2017-12,37,15,18,7,7,1.074956420685648,0.36170725825898237,0.4844290657439446,0.631578947368421,0.34499753573188763
2018-01,12,6,3,9,7,0.35481963335304556,0.1445086705202312,0.6130790190735695,0.0946073793755913,0.32863849765258213
2018-02,11,7,2,2,3,0.3362885967594008,0.1665873393622085,0.1444043321299639,0.0666000666000666,0.15781167806417673
2018-03,11,3,5,6,6,0.2927088877062267,0.06306495690561278,0.37243947858473,0.14792899408284024,0.2762430939226519
2018-04,8,8,6,6,3,0.24449877750611246,0.1953125,0.4291845493562232,0.20229265003371544,0.15625
2018-05,14,9,1,9,0,0.3857812069440617,0.2117148906139732,0.5725190839694656,0.0338409475465313,0.0
2018-06,16,4,9,5,3,0.40837161817253703,0.08754650908295032,0.31545741324921134,0.2826633165829146,0.13636363636363638
2018-07,14,11,9,9,9,0.4871259568545582,0.2972972972972973,0.6574141709276844,0.34194528875379937,0.4817987152034261
2018-08,18,5,11,8,5,0.7214428857715431,0.1544163063619518,0.599250936329588,0.4776378636561007,0.26232948583420773
2018-09,25,3,18,12,12,0.7118451025056948,0.06915629322268327,0.8602150537634409,0.5905511811023622,0.5850804485616773
2018-10,28,13,15,11,13,0.78125,0.2868490732568403,0.7462686567164178,0.43327556325823224,0.6103286384976526
2018-11,43,15,18,7,6,1.2399077277970012,0.34997666822211854,0.5087209302325582,0.5717916137229987,0.29925187032418954
2018-12,36,10,34,30,18,1.0465116279069768,0.2523977788995457,2.127659574468085,1.1867364746945899,0.8742107819329772
2019-01,39,2,14,10,8,0.8916323731138546,0.047596382674916705,0.6896551724137931,0.4490057729313663,0.3731343283582089
2019-02,26,6,10,12,10,0.8089607965152459,0.15033826108744675,0.8968609865470852,0.33545790003354575,0.5194805194805194
2019-03,22,16,15,7,2,0.6644518272425249,0.3669724770642202,0.472972972972973,0.4849660523763337,0.09737098344693282
2019-04,22,9,14,4,4,0.7997091966557615,0.20220175241518762,0.29739776951672864,0.521415270018622,0.19870839542970692
