,date,publication,words,author,title,intro
55,2017-05-31,Libération,530mots,Nathalie Versieux,"L'Allemagne, élève modèle... surtout à l'étranger","    ...  mettait en avant la part que le développement durable (énergies renouvelables, activités de protection du  climat, nouveaux types de transports...) pourrait représenter dans l'avenir en pourcentage du PIB ainsi que le ...  "
56,2017-06-05,Libération,101mots,,"Climat : Kerry, Trump et O.J. Simpson...","        ...  la diplomatie américaine John Kerry, un des artisans de l'accord de Paris sur le  climat, a ironisé sur la décision de retrait du président américain, Donald Trump, et sa volonté affichée ...  "
57,2017-05-09,Libération,129mots,,CLIMAT 196 PAYS RÃ%UNIS À BONN POUR CONCRÃ%TISER L'ACCORD DE PARIS,"        ...  Bonn des discussions sur la mise en oeuvre de l'accord de Paris sur le  climat.  «Cet accord international est le dernier espoir de survie pour les petits Etats insulaires», a rappelé ...  "
58,2017-06-03,Libération,36mots,,Climat. Le jour d'après,        ... Climat. Le jour d'après  ...  
59,2017-07-14,Libération,1348mots,Isabelle Hanne|Guillaume Gendron,Trump-Macron : à qui profite le show ?,"    ...  le  «partenariat multiséculaire»  qui unit les deux puissances. S'il reconnaît des  «désaccords»  sur le  climat (évoqué  «très brièvement»  a insisté Trump) et le commerce, les deux hommes ont surligné leur  «point ...  "
60,2017-07-14,Libération,611mots,Guillaume Gendron,Côté français,"    ...  le  «partenariat multiséculaire»  qui unit les deux puissances. S'il reconnaît des  «désaccords»  sur le  climat (évoqué «très brièvement»  a insisté Trump) et le commerce, les deux hommes ont surligné leur  «point ...  "
61,2017-05-18,Libération,58mots,,Climat,        ...  laisser les représentants du secteur privé prendre place à la table des négociations sur le  climat ? La question s'est à nouveau posée lors de l'intersession de la Conventioncadre des ...  
62,2017-06-02,Libération,25mots,,Climat GOODBYE AMERICA,"        Malgré les mises en garde, Donald Trump a choisi de sortir les EtatsUnis de l'accord de Paris sur le  climat. pages 27  ...  "
63,2017-08-31,Libération,738mots,Alain Duhamel,La rechute française,"    ...  de la longue et parfois accablante séquence électorale jouaitelle. Peutêtre l'amélioration du  climat économique, l'approche des vacances, la nouveauté d'une équipe et d'une majorité toutes deux ...  "
64,2017-05-11,Libération,1828mots,Coralie Schaub,Gaz renouvelable : tous les feux sont au vert,"    ...  écolo ? Oui, à condition d'éviter certains écueils. D'abord, il est un ami du  climat, puisqu'il émet cinq fois moins de GES dans l'atmosphère que le gaz fossile. Le ...  "
