,date,publication,words,author,title,intro
34,2017-12-14,Le Monde,855mots,Rémi Barrouxet Simon Roger Rémi Barrouxet Simon Roger,Le sommet pour le climat laisse les ONG sur leur faim,"    ...  a usé de tous les symboles pour rappeler l'urgence à oeuvrer contre le dérèglement  climatique. « Le défi de notre génération est d'agir, agir plus vite et gagner cette bataille contre ...  "
35,2017-10-04,Le Monde,1136mots,Rémi Barroux et Simon Roger,"Nicolas Hulot, un ministre sous pression","    ...  arbitrages classiques », dédramatise Bercy, qui avait mis son veto à une mesure emblématique du plan  climat dévoilé le 6 juillet par Nicolas ­Hulot : le projet de taxe sur les transactions financières à ...  "
36,2017-11-15,Le Monde,950mots,Anne-Françoise Hivert,La « pétromonarchie » norvégienne attaquée en justice sur le climat,    ...  des ONG attaquent l'Etat en justice pour lui demander des comptes sur sa politique  climatique et contraindre ainsi la « pétromonarchie » scandinave à faire face à ses contradictions : un des premiers pays ...  
37,2017-11-30,Le Monde,916mots,par Simone Tagliapietra,Pour une politique européenne de sortie du charbon,"    Le réchauffement  climatique peut avoir l'air d'une menace écrasante. Si elle veut avoir le moindre espoir de limiter l'augmentation catastrophique des températures, l'humanité doit prendre des mesures radicales ...  "
38,2017-12-12,Le Monde,1437mots,Pierre Le Hir,Les trois carburants du réchauffement,"    ... La mécanique  climatique, elle, est implacable. Dans un rapport publié fin octobre, l'ONU Environnement rappelle que, pour conserver une chance de contenir la hausse de la colonne de mercure sous le ...  "
39,2017-11-06,Le Monde,783mots,Corine Lesnes,Un rapport américain bouscule les climatosceptiques,"    ...  de la Maison Blanche  un rapport qui établit un lien sans ambiguïté entre le changement  climatique et la pollution causée par l'homme. « Il est extrêmement probable que les activités humaines, en ...  "
40,2017-09-06,Le Monde,608mots,Par Armand Hatchuel,Le revirement des entreprises américaines sur le climat,"    ...  réunir à Paris, le 12 décembre, les signataires de l'accord de Paris sur le  climat « pour faire un point d'étape sur son avancée et mobiliser les financements indispensables » à sa ...  "
41,2017-12-27,Le Monde,709mots,B. Pe.,"Dans sa lutte pour le climat, Pékin lance un marché du carbone",    ...  de marché dans sa panoplie d'outils mis en place pour s'attaquer au réchauffement  climatique. L'engagement en avait été pris en 2015 par le président chinois Xi Jinping devant son ...  
42,2017-09-01,Le Monde,650mots,Simon Roger,Trump a signifié à l'ONU son retrait de l'accord de Paris sur le climat,"    ... 'est « pas clair », estime la juriste américaine Susan Biniaz. Mais cette spécialiste de la diplomatie  climatique, qu'elle a suivie pendant plus de vingtcinq ans au sein du département d'Etat ...  "
43,2017-12-15,Le Monde,694mots,Pierre-Bruno Ruffini,Un coup gagnant de la diplomatie scientifique de la France,    ...  et acteurs associatifs à « rejoindre la France pour mener la lutte contre le réchauf­fement  climatique . Il lançait le mot d'ordre « Make our planet great again! » Le programme du même nom ...  
44,2017-12-05,Le Monde,1344mots,,""" On ne pourra pas dire qu'on ne savait pas """,        ...  la lutte contre ses impacts sanitaires l'axe central de la mobilisation contre le changement  climatique. Que pensezvous du mot d'ordre retenu par l'assemblée des Nations unies pour l ...  
45,2017-11-07,Le Monde,953mots,,COP23 : contradictions américaines sur le climat,"        La Conférence des Nations unies sur le  climat (COP), qui débute lundi 6 novembre à Bonn, en Allemagne, sera le premier rendezvous de cette nature présidé par un petit Etat insulaire ...  "
46,2017-09-19,Le Monde,910mots,par Jean-Michel Bezat,"Or noir, noir futur",    ...  favorable à une limitation des activités pétrolières au nom de la lutte contre le réchauffement  climatique. Que les écologistes ne s'enthousiasment pas trop vite. L'exploration va bon train en Norvège ...  
